timestamp,actual,sarima,sarima_lower_95,sarima_upper_95
2018-10-04,55.34957142857142,56.575013092397974,-584812.7236279405,584925.8736541253
2018-10-11,55.534375,56.30092721568671,-925238.350226311,925350.9520807425
2018-10-18,57.60732142857143,56.80645043625089,-1223346.1335617816,1223459.7464626543
2018-10-25,58.10247023809524,55.28241593576948,-1496130.648001384,1496241.2128332555
2018-11-01,55.83925595238096,57.0404987510594,-1754937.1198208667,1755051.2008183687
2018-11-08,58.57626785714286,57.88894329840268,-2006026.9800412292,2006142.7579278261
2018-11-15,61.157553571428565,58.319850105748,-2253123.064354044,2253239.7040542555
2018-11-22,61.53547023809524,58.74549056949886,-2498535.7002436477,2498653.191224787
2018-11-29,62.25420833333334,59.23554495677804,-2743767.35035613,2743885.8214460434
2018-12-06,62.83096428571429,59.574927493559024,-2989833.737666228,2989952.887521215
2018-12-13,62.56505357142857,58.741773813689385,-3237444.0639604186,3237561.5475080456
2018-12-20,51.66849404761905,53.708537340019866,-3487107.324245622,3487214.7413203022
2018-12-27,50.724297619047626,54.003265084313114,-3739182.0808692193,3739290.0873993877
2019-01-03,60.180416666666666,57.50392473123363,-3993941.680524951,3994056.688374413
2019-01-10,62.74117857142857,58.593946546340575,-4251593.193334742,4251710.381227835
2019-01-17,62.816452380952384,58.50546764277235,-4512285.529989312,4512402.540924598
2019-01-24,62.92402380952382,58.145910290293166,-4776129.529481257,4776245.821301837
2019-01-31,62.08240476190477,58.35311160846146,-5043206.945669921,5043323.651893139
2019-02-07,62.34997619047619,58.46709429097883,-5313578.619658772,5313695.553847354
2019-02-14,59.74879166666667,58.322905289408524,-5587287.492736992,5587404.13854757
2019-02-21,58.74913690476191,59.11439799364035,-5864361.5135114845,5864479.742307471
2019-02-28,58.744172619047625,58.63458272438059,-6144821.275369688,6144938.544535137
2019-03-07,59.49458928571429,57.57567851411555,-6428675.937948625,6428791.089305653
2019-03-14,59.63257142857143,59.02578004926011,-6715925.462821512,6716043.51438161
2019-03-21,57.19169047619047,57.63895668996551,-7006572.806489094,7006688.084402475
2019-03-28,56.23338095238096,54.38155910115577,-7300610.255209579,7300719.018327781
2019-04-04,56.36203571428572,56.36964774295563,-7598020.451185714,7598133.190481201
2019-04-11,56.58204166666666,55.7293206733966,-7898798.226463831,7898909.685105178
2019-04-18,48.69788095238095,55.58340218768668,-8202925.17743965,8203036.344244025
2019-04-25,52.80792857142857,54.51923116648319,-8510385.65297333,8510494.691435663
2019-05-02,55.879869047619046,55.83995161592862,-8821157.87507671,8821269.55497994
2019-05-09,55.50689285714285,54.641711991320896,-9135227.166362435,9135336.449786417
2019-05-16,55.45182142857144,54.68338376639417,-9452569.33063828,9452678.697405813
2019-05-23,54.2165,56.074324630321264,-9773163.171368927,9773275.320018187
2019-05-30,52.01179761904762,55.03964998918593,-10096990.896678152,10097100.97597813
