rank,model,MAE,RMSE,MASE,Bias,sMAPE,source_file,covariate_set,conditional_forecast,forecast_strategy,lookback_weeks
1,feature_model,2.366798632644389,3.1334398186632515,1.6122083520559274,1.9050667819056173,4.387958252431542,feature_model_metrics.csv,,True,recursive_fixed_origin,
2,seasonal_naive,2.4175091002747253,3.154883872483044,1.646751146834774,1.7720203182234426,4.440603176306616,benchmark_metrics.csv,,,,
3,lstm,2.7070637489000315,3.5357788343276613,1.843989059875464,1.1743235640963774,4.968204367921094,lstm_metrics.csv,,True,recursive_fixed_origin,52.0
4,sarima,2.990127658768214,3.615394993333425,2.036805632168819,1.1166958118934125,5.463254662530972,sarima_metrics.csv,,,,
5,naive,3.7318598328754575,4.381900647847005,2.542056391397212,-0.2931446314102613,6.770894120586243,benchmark_metrics.csv,,,,
6,mean,3.776146152210884,4.404644649489548,2.572223205307619,0.5345792509998435,6.850495280251579,benchmark_metrics.csv,,,,
7,drift,4.032998552115619,4.718132091034389,2.747185104752928,0.6360604967948681,7.309291863134648,benchmark_metrics.csv,,,,
8,sarimax,4.248010084653803,5.029544927212856,2.893645975468873,4.237124757970344,7.585169567378859,sarimax_metrics.csv,temperature_holiday,True,,
