,count,mean,std,min,25%,50%,75%,max
load_gw,300.0,55.4924685515873,3.762886392471145,45.27698214285714,52.817910714285716,54.95688988095239,58.8965505952381,63.189755952380956
temp_mean,300.0,11.021809523809525,7.398082291154572,-4.971428571428571,5.182142857142857,10.507142857142858,17.589285714285715,26.3
temp_min,300.0,7.143952380952381,6.485767285568595,-7.914285714285714,1.9428571428571428,6.707142857142857,13.092857142857142,20.400000000000002
temp_max,300.0,14.926,8.286817985043955,-2.1,8.014285714285714,14.964285714285714,21.992857142857144,32.285714285714285
heating_degree_days,300.0,7.73047619047619,6.394678326923893,0.0,1.1928571428571422,7.492857142857144,12.817857142857141,22.97142857142857
cooling_degree_days,300.0,0.18476190476190477,0.6243542383225908,0.0,0.0,0.0,0.0,4.3
holiday_days,300.0,0.17333333333333334,0.46620458090816175,0.0,0.0,0.0,0.0,2.0
has_holiday,300.0,0.13666666666666666,0.3440690345808724,0.0,0.0,0.0,0.0,1.0
